,id,createdTime,fields.Unnamed: 0,fields.index,fields.city_name,fields.iata_code,fields.gmt,fields.timezone,fields.latitude,fields.longitude
125,rec0vRwmRGKXNdovC,2024-07-21T16:13:31.000Z,1710,1126,Corner Bay,CBA,-9,America/Sitka,57.716667,-135.2
126,rec0wMGPCVpm925XX,2024-07-21T16:18:22.000Z,5767,5554,Osaka,OSA,9,Asia/Tokyo,34.693738,135.502165
127,rec0xFjBu1MUDzwzA,2024-07-21T16:13:24.000Z,1624,1352,Colima,CLQ,-6,America/Mexico_City,19.3,-103.65
128,rec0xWLeNscf2klEB,2024-07-21T16:19:20.000Z,6571,6330,Reynosa,REX,-6,America/Matamoros,26.0125,-98.23
129,rec0yJ1ZPLlgcMWOY,2024-07-21T16:21:14.000Z,8082,9317,Tureira,ZTA,-10,Pacific/Tahiti,-20.816668,-138.5
130,rec0yeJRFq9hnkqct,2024-07-21T16:11:53.000Z,383,87,Ardabil,ADU,3.30,Asia/Tehran,38.323826,48.42125
131,rec0ywhw3Xx0R0Cwh,2024-07-21T16:21:25.000Z,8238,7950,Vallejo,VLO,-8,America/Los_Angeles,38.11667,-122.23333
132,rec0zGU3PV6oVbRb5,2024-07-21T16:15:59.000Z,3832,3816,Kiruna,KRN,1,Europe/Stockholm,67.82222,20.345833
133,rec106Q1yZSnvx9Uo,2024-07-21T16:18:01.000Z,5505,5238,Nipa,NPG,10,Pacific/Port_Moresby,-6.133333,143.36667
134,rec10JzGikA3xM6E7,2024-07-21T16:11:48.000Z,313,279,Annette Island,ANN,-9,America/Sitka,55.036945,-131.57056
135,rec10eF7pLHycHlOr,2024-07-21T16:21:33.000Z,8338,7930,Viru,VIU,11,Pacific/Guadalcanal,-8.5,157.66667
136,rec11AwA3n0mux9JR,2024-07-21T16:14:54.000Z,2916,5655,Hanapepe,PAK,-10,Pacific/Honolulu,21.933332,-159.61667
137,rec11otxYydSmHba7,2024-07-21T16:12:19.000Z,736,8056,Bealanana,WBE,3,Indian/Antananarivo,-14.533333,48.7
